2020-06-07 21:20:15,481 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, C31), 1), ((A10, *), 1)>
2020-06-07 21:20:15,481 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, B11), 1), ((A10, *), 1)>
2020-06-07 21:20:15,481 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, A12), 1), ((A10, *), 1)>
2020-06-07 21:20:15,481 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, C31), 1), ((A10, *), 1)>
2020-06-07 21:20:15,481 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, B12), 1), ((A10, *), 1)>
2020-06-07 21:20:15,481 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A10, B11), 1), ((A10, *), 1)>
2020-06-07 21:20:15,481 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, B12), 1), ((D76, *), 1)>
2020-06-07 21:20:15,481 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, B11), 1), ((D76, *), 1)>
2020-06-07 21:20:15,482 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, C31), 1), ((D76, *), 1)>
2020-06-07 21:20:15,482 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, B11), 1), ((B12, *), 1)>
2020-06-07 21:20:15,482 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, C31), 1), ((B12, *), 1)>
2020-06-07 21:20:15,482 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, D76), 1), ((B12, *), 1)>
2020-06-07 21:20:15,482 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B11, C31), 1), ((B11, *), 1)>
2020-06-07 21:20:15,482 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B11, D76), 1), ((B11, *), 1)>
2020-06-07 21:20:15,482 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B11, B12), 1), ((B11, *), 1)>
2020-06-07 21:20:15,482 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B11, C31), 1), ((B11, *), 1)>
2020-06-07 21:20:15,482 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((C31, D76), 1), ((C31, *), 1)>
2020-06-07 21:20:15,483 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((C31, B12), 1), ((C31, *), 1)>
2020-06-07 21:20:15,483 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, B12), 1), ((D76, *), 1)>
2020-06-07 21:20:15,483 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, C31), 1), ((D76, *), 1)>
2020-06-07 21:20:15,483 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, B11), 1), ((D76, *), 1)>
2020-06-07 21:20:15,483 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, A12), 1), ((D76, *), 1)>
2020-06-07 21:20:15,483 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, C31), 1), ((D76, *), 1)>
2020-06-07 21:20:15,483 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, B12), 1), ((D76, *), 1)>
2020-06-07 21:20:15,483 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((D76, B11), 1), ((D76, *), 1)>
2020-06-07 21:20:15,483 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, C31), 1), ((B12, *), 1)>
2020-06-07 21:20:15,483 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, B11), 1), ((B12, *), 1)>
2020-06-07 21:20:15,483 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, A12), 1), ((B12, *), 1)>
2020-06-07 21:20:15,484 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, C31), 1), ((B12, *), 1)>
2020-06-07 21:20:15,484 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((C31, B11), 1), ((C31, *), 1)>
2020-06-07 21:20:15,484 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((C31, A12), 1), ((C31, *), 1)>
2020-06-07 21:20:15,484 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B11, A12), 1), ((B11, *), 1)>
2020-06-07 21:20:15,484 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B11, C31), 1), ((B11, *), 1)>
2020-06-07 21:20:15,484 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B11, B12), 1), ((B11, *), 1)>
2020-06-07 21:20:15,484 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A12, C31), 1), ((A12, *), 1)>
2020-06-07 21:20:15,484 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A12, B12), 1), ((A12, *), 1)>
2020-06-07 21:20:15,484 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((A12, B11), 1), ((A12, *), 1)>
2020-06-07 21:20:15,485 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((C31, B12), 1), ((C31, *), 1)>
2020-06-07 21:20:15,485 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((C31, B11), 1), ((C31, *), 1)>
2020-06-07 21:20:15,485 INFO [main] edu.mum.cs522.project1.part2.PairAlgo$Map: <((B12, B11), 1), ((B12, *), 1)>
2020-06-07 21:20:15,496 INFO [main] org.apache.hadoop.mapred.MapTask: Starting flush of map output
2020-06-07 21:20:15,496 INFO [main] org.apache.hadoop.mapred.MapTask: Spilling map output
2020-06-07 21:20:15,496 INFO [main] org.apache.hadoop.mapred.MapTask: bufstart = 0; bufend = 2244; bufvoid = 104857600
2020-06-07 21:20:15,496 INFO [main] org.apache.hadoop.mapred.MapTask: kvstart = 26214396(104857584); kvend = 26213584(104854336); length = 813/6553600
2020-06-07 21:20:15,522 INFO [main] org.apache.hadoop.mapred.MapTask: Finished spill 0
2020-06-07 21:20:15,540 INFO [main] org.apache.hadoop.mapred.Task: Task:attempt_1591578330124_0003_m_000000_0 is done. And is in the process of committing
2020-06-07 21:20:15,596 INFO [main] org.apache.hadoop.mapred.Task: Task 'attempt_1591578330124_0003_m_000000_0' done.
2020-06-07 21:20:15,597 INFO [main] org.apache.hadoop.metrics2.impl.MetricsSystemImpl: Stopping MapTask metrics system...
2020-06-07 21:20:15,597 INFO [main] org.apache.hadoop.metrics2.impl.MetricsSystemImpl: MapTask metrics system stopped.
2020-06-07 21:20:15,598 INFO [main] org.apache.hadoop.metrics2.impl.MetricsSystemImpl: MapTask metrics system shutdown complete.
